cluster_id,traits_1,traits_2,guardian_deity_hindu,guardian_deity_greek,guardian_deity_norse,guardian_devi,guardian_devil_hindu,guardian_devil_greek,guardian_devil_norse,mythical_animal
0,Creative,Visionary,Saraswati,Apollo,Bragi,Gayatri,Rahu,Eris,Loki,Phoenix
1,Warrior,Leader,Kartikeya,Ares,Thor,Durga,Mahishasura,Typhon,Fenrir,Griffin
2,Protector,Healer,Dhanvantari,Asclepius,Eir,Parvati,Putana,Empusa,Hel,Unicorn
3,Rebel,Challenger,Shiva,Prometheus,Odin,Kali,Vritra,Hades,Surtr,Dragon
4,Peacemaker,Wise,Krishna,Athena,Baldur,Radha,Shambara,Nemesis,Nidhogg,White Owl
5,Explorer,Adventurer,Hanuman,Hermes,Skadi,Sita,Bakasura,Scylla,Jormungandr,Pegasus
6,Builder,Stable,Vishwakarma,Hephaestus,Mimir,Annapurna,Tripurasura,Cronus,Thrym,Behemoth
7,Intellectual,Observer,Brihaspati,Hermes,Forseti,Matangi,Kamsa,Phobos,Mara,Raven
8,Artist,Dreamer,Chandra,Selene,Nanna,Lalita,Shurpanakha,Medea,Hela,Mermaid
9,Judge,Disciplinarian,Yama,Themis,Tyr,Dhumavati,Duryodhana,Minos,Fenrir,Cerberus
10,Inventor,Problem Solver,Ganesha,Daedalus,Sindri,Vagdevi,Shishupala,Tantalus,Fafnir,Griffin
11,Empath,Caregiver,Chandra,Hestia,Frigg,Kamala,Tataka,Lamiae,Angrboda,Doe
12,Strategist,Planner,Indra,Zeus,Odin,Usha,Indrajit,Achilles (fallen),Sigurd (dark),Hydra
13,Mystic,Spiritual,Dakshinamurthy,Orpheus,Völva,Tripura Sundari,Bhasmasura,Circe,Angrboda,Swan
14,Survivor,Resilient,Vamana,Heracles,Magni,Bhudevi,Kaliyan,Polyphemus,Hræsvelgr,Lion
15,Diplomatic,Balanced,Shukra,Harmonia,Forseti,Lakshmi,Kali,Discordia,Sköll,Swan
16,Seeker,Curious,Narada,Odysseus,Baldur,Savitri,Kumbhakarna,Sphinx,Ratatoskr,Hippocamp
17,Stoic,Enduring,Bhishma,Atlas,Vidar,Shailaputri,Jarasandha,Thanatos,Gullveig,Tortoise
18,Liberator,Disruptor,Parashurama,Dionysus,Freyr,Tara,Kaliyan,Pentheus,Lævateinn,Hydra
19,Guardian,Nurturer,Surya,Helios,Sol,Aditi,Tarakasura,Melinoe,Naglfar,White Tiger
20,Strategic,Authoritative,Indra,Zeus,Tyr,Ratri,Indrajit,Alecto,Jörmungandr,Kraken
21,Mystic,Enigmatic,Chandradeva,Nyx,Nott,Bagalamukhi,Bhutaraja,Moros,Svartálfar,Night Serpent
22,Philosopher,Teacher,Vachaspati,Socrates,Mimir,Saraswati,Shukracharya (in fallen form),Chiron (cursed),Hrímgerðr,Snow Owl
23,Builder,Pragmatic,Vishwakarma,Daedalus,Sindri,Annapurna,Tripurasura,Talos,Thrym,Iron Golem
24,Altruist,Sacrificial,Harischandra,Prometheus,Baldr,Renuka Devi,Sharabha (if corrupted),Icarus,Fenrir (bound),Silver Stag
25,Visionary,Revolutionary,Agastya,Orpheus,Loki,Chandraghanta,Kali (uncontrolled),Medusa,Surtr,Black Griffin
26,Joyful,Optimist,Ganesha,Euphrosyne,Njord,Kamalatmika,Apasmara,Boreas,Skadi (dark aspect),Golden Hare
27,Ambitious,Driven,Shani,Hercules,Magni,Meenakshi,Narakasura,Ixion,Fafnir,War Stallion
28,Romantic,Sensual,Kamadeva,Aphrodite,Freya,Rati,Kalanemi,Helen (cursed mythic form),Hyndla,Velvet Panther
29,Silent,Shadowed,Dhumavati,Hecate,Hel,Mahavidya,Vetala,Achlys,Móði,Ghost Fox
30,Mediator,Connector,Vayu,Hermes,Heimdall,Aranyani,Trishira,Apate,Garm,Falcon
31,Caretaker,Guardian,Savitr,Hestia,Frigg,Bhuvaneshwari,Shaktibhadra,Empusa,Sköll,Hearth Wolf
32,Justice-Seeker,Truthful,Yama,Themis,Tyr,Chandika,Manthara,Nemesis,Nidhogg,Dire Boar
33,Nomadic,Wanderer,Rishi Vasishta,Pan,Ullr,Ganga,Kalanemi,Circe,Hræsvelgr,Cloud Serpent
34,Innovator,Experimenter,Brahma,Hephaestus,Sindri,Vagdevi,Trinetra (if corrupted),Icarus,Gullinkambi,Clockwork Beetle
35,Tactician,Timekeeper,Kalabhairava,Chronos,Verdandi,Mahakali,Shani (harsh aspect),Kairos (chaotic aspect),Gulltoppr,Shadow Lynx
36,Purifier,Truth-Revealer,Agni,Ananke,Elli,Shodashi,Bhimasura,Lethe,Sköll,Crystal Falcon
